F_Avg,F_Max,X_Bytes,Y_Bytes,X,Y
0.580,0.900,111011,000000,2.9,1.0
0.608,0.900,111011,000000,2.9,1.0
0.540,0.900,111011,000000,2.9,1.0
0.620,0.900,111011,000000,2.9,1.0
0.532,0.900,111011,000000,2.9,1.0
0.643,0.900,111011,000000,2.9,1.0
0.570,0.900,111011,000000,2.9,1.0
0.578,0.900,111011,000000,2.9,1.0
0.535,0.900,111011,000000,2.9,1.0
0.570,0.900,111011,000000,2.9,1.0
0.623,0.900,111011,000000,2.9,1.0
0.647,0.900,111011,000000,2.9,1.0
0.618,0.900,111011,000000,2.9,1.0
0.537,0.900,111011,000000,2.9,1.0
0.505,0.900,111011,000000,2.9,1.0
0.475,0.900,111011,000000,2.9,1.0
0.395,0.900,111011,000000,2.9,1.0
0.502,0.900,111011,000000,2.9,1.0
0.498,0.900,111011,000000,2.9,1.0
0.695,0.900,111011,000000,2.9,1.0
0.673,0.900,111011,000000,2.9,1.0
0.620,0.900,111011,000000,2.9,1.0
0.573,0.900,111011,000000,2.9,1.0
0.432,0.900,111011,000000,2.9,1.0
0.445,0.900,111011,000000,2.9,1.0
0.487,0.900,111011,000000,2.9,1.0
0.508,0.900,111011,000000,2.9,1.0
0.555,0.900,111011,000000,2.9,1.0
0.432,0.900,111011,000000,2.9,1.0
0.465,0.900,111011,000000,2.9,1.0
0.533,0.900,111011,000000,2.9,1.0
0.605,0.900,111011,000000,2.9,1.0
0.498,0.900,111011,000000,2.9,1.0
0.398,0.800,111010,000000,2.8,1.0
0.405,0.800,111010,000000,2.8,1.0
0.537,0.800,111010,000000,2.8,1.0
0.517,0.800,111010,000000,2.8,1.0
0.450,0.800,111010,000000,2.8,1.0
0.377,0.800,111010,000000,2.8,1.0
0.405,0.800,111010,000000,2.8,1.0
0.325,0.800,111010,000000,2.8,1.0
0.205,0.800,111010,000000,2.8,1.0
0.273,0.800,111010,000000,2.8,1.0
0.187,0.800,111010,000000,2.8,1.0
0.298,0.800,111010,000000,2.8,1.0
0.427,0.800,111010,000000,2.8,1.0
0.390,0.800,111010,000000,2.8,1.0
0.370,0.800,111010,000000,2.8,1.0
0.418,0.800,111010,000000,2.8,1.0
0.298,0.800,111010,000000,2.8,1.0
0.215,0.800,111010,000000,2.8,1.0
0.202,0.800,111010,000000,2.8,1.0
0.300,0.800,111010,000000,2.8,1.0
0.317,0.800,111010,000000,2.8,1.0
0.290,0.800,111010,000000,2.8,1.0
0.277,0.800,111010,000000,2.8,1.0
0.252,0.800,111010,000000,2.8,1.0
0.193,0.800,111010,000000,2.8,1.0
0.220,0.800,111010,000000,2.8,1.0
0.105,0.800,111010,000000,2.8,1.0
0.128,0.800,111010,000000,2.8,1.0
0.352,0.800,111010,000000,2.8,1.0
0.428,0.800,111010,000000,2.8,1.0
0.357,0.800,111010,000000,2.8,1.0
0.480,0.800,111010,000000,2.8,1.0
0.457,0.800,111010,000000,2.8,1.0
0.357,0.800,111010,000000,2.8,1.0
0.483,0.800,111010,000000,2.8,1.0
0.443,0.800,111010,000000,2.8,1.0
0.517,0.800,111010,000000,2.8,1.0
